Country,lat,lng,hazard
Afghanistan,33,65,8.8
Albania,41,20,3.3
Antigua and Barbuda,17.05,-61.8,1.6
Armenia,40,45,3.7
Australia,-27,133,3.4
Austria,47.3333,13.3333,1.2
Azerbaijan,40.5,47.5,4.8
Bahamas,24.25,-76,1.9
Bahrain,26,50.55,0.2
Bangladesh,24,90,7.6
Barbados,13.1667,-59.5333,1.4
Belarus,53,28,1.7
Belgium,50.8333,4,2
Bhutan,27.5,90.5,1.8
Bosnia and Herzegovina,44,18,3.2
Brunei Darussalam,4.5,114.6667,1.2
Bulgaria,43,25,1.9
Burkina Faso,13,-2,3.3
Cabo Verde,,,1
Chad,15,19,5.5
Chile,-30,-71,5
China,35,105,7.2
Comoros,-12.1667,44.25,1.3
Croatia,45.1667,15.5,3
Cyprus,35,33,1.8
Czech Republic,49.75,15.5,1.1
Denmark,56,10,0.5
Djibouti,11.5,43,4.1
Dominica,15.4167,-61.3333,2.7
Dominican Republic,19,-70.6667,4.9
Egypt,27,30,7.7
Equatorial Guinea,2,10,2.4
Eritrea,15,39,3.5
Estonia,59,26,0.5
Eswatini,,,2.3
Ethiopia,8,38,7.2
Finland,64,26,0.1
Georgia,42,43.5,3.8
Germany,51,9,1.4
Greece,39,22,3.5
Grenada,12.1167,-61.6667,0.3
Haiti,19,-72.4167,5.5
Hungary,47,20,2
Iceland,65,-18,0.8
India,20,77,7.3
Indonesia,-5,120,7.3
Iran,,,6.6
Ireland,53,-8,1.3
Italy,42.8333,12.8333,2.9
Japan,36,138,5.8
Jordan,31,36,3.3
Kenya,1,38,5.8
Kiribati,1.4167,173,2
Korea DPR,,,4.7
Korea Republic of,,,3.7
Kyrgyzstan,41,75,5.3
Latvia,57,25,1.2
Lebanon,33.8333,35.8333,4.8
Libya,,,8.4
Liechtenstein,47.1667,9.5333,0.7
Lithuania,56,24,0.9
Luxembourg,49.75,6.1667,0.3
Malaysia,2.5,112.5,3.8
Maldives,3.25,73,1.8
Malta,35.8333,14.5833,1.3
Marshall Islands,9,168,2
Mauritius,-20.2833,57.55,2.1
Micronesia,,,2.6
Moldova Republic of,,,2.8
Mongolia,46,105,1.8
Montenegro,42,19,2.4
Morocco,32,-5,4.4
Nauru,-0.5333,166.9167,1.4
Nepal,28,84,5.7
Netherlands,52.5,5.75,1
New Zealand,-41,174,3.1
North Macedonia,,,2.5
Norway,62,10,0.1
Pakistan,30,70,7.6
Palau,7.5,134.5,1.9
Paraguay,-23,-58,2.1
Philippines,13,122,7.8
Poland,52,20,1.3
Portugal,39.5,-8,2.2
Romania,46,25,3.7
Russian Federation,60,100,6.6
Rwanda,-2,30,3
Saint Kitts and Nevis,17.3333,-62.75,1
Saint Lucia,13.8833,-61.1333,1
Saint Vincent and the Grenadines,13.25,-61.2,0.6
Samoa,-13.5833,-172.3333,1.6
Sao Tome and Principe,1,7,0.1
Saudi Arabia,25,45,3.5
Serbia,44,21,3.5
Seychelles,-4.5833,55.6667,1.6
Singapore,1.3667,103.8,0.1
Slovakia,48.6667,19.5,1.8
Slovenia,46,15,2.2
Solomon Islands,-8,159,3.8
Somalia,10,49,9
South Sudan,8,30,6.2
Spain,40,-4,3
Sri Lanka,7,81,4.1
Sudan,15,30,7.3
Sweden,62,15,0.6
Switzerland,47,8,1
Syria,,,8.6
Tajikistan,39,71,5.3
Tonga,-20,-175,2.2
Trinidad and Tobago,11,-61,1.4
Turkey,39,35,7.8
Turkmenistan,40,60,3.1
Tuvalu,-8,178,1.5
Uganda,1,32,5.1
Ukraine,49,32,5.4
United Kingdom,54,-2,1.9
Viet Nam,16,106,5.6
Yemen,15,48,8.1
,,,
,,,
"(*) Reliability Index: 0 more reliable, 10 less reliable.",,,
